2a01:4f8:13b:39ce::2,3478
2a03:8600::89,3478
2a01:4f8:c17:8f74::1,3478
2001:1538:1::224:74,3478
2a01:4f8:242:56ca::2,3478
2001:41d0:2:12b9::1,3478
2001:678:b28::118,3478
2600:1f16:8c5:101:80b:b58b:828:8df4,3478
2406:da1c:c7:8700:3a86:24a8:3b8f:202d,3478
2001:4060:1:1005::10:32,3478
2a00:1169:11b:a6b0::,3478
2a02:247a:204:eb00::1,3478
2a01:4f8:13b:39ce::2,3478
2001:678:b28::118,3478
2001:41d0:8:8a6d::1,3478
2a01:4f8:c17:8f74::1,443
2a03:8600::89,3478
2a01:4f8:242:56ca::2,3478
2a01:4f8:13b:39ce::2,3478
2001:1538:1::224:74,3478
2a01:4f8:c17:8f74::1,3478
2a01:4f8:c17:8f74::1,3478
2a01:4f8:242:56ca::2,3478
2001:1538:1::224:74,3478
2a01:4f8:13b:39ce::2,3478
2a02:247a:204:eb00::1,3478
2a01:4f8:c17:8f74::1,443
2a01:4f8:13b:39ce::2,3478
2a01:4f8:242:56ca::2,3478
2a02:247a:204:eb00::1,3478
2001:1538:1::224:74,3478
2a01:4f8:13b:39ce::2,3478
2a01:4f8:c17:8f74::1,3478
2a01:4f8:13b:39ce::2,3478
2001:41d0:8:8a6d::1,3478
2a03:8600::89,3478
2a01:4f8:c17:8f74::1,443
2001:678:b28::118,3478
0,3478,business.swoole.com
0,3478,canvas-turn-server.fly.dev
0,3478,crewlink.guus.info
0,3478,deershare.com
0,3478,eu-0.turn.peerjs.com
0,3478,freestun.net
0,5350,freestun.net
0,5349,giggleforest.com
0,3478,gitclone.com
0,3478,global.stun.twilio.com
0,3478,hk-turn1.xirsys.com
0,80,hk-turn1.xirsys.com
0,3478,iphone-stun.strato-iphone.de
0,443,meet-jit-si-turnrelay.jitsi.net
0,3477,melodymine.taher7.ir
0,3478,numb.viagenie.ca
0,80,openrelay.metered.ca
0,3478,oz-turn-1.xirsys.com
0,3478,relay.webwormhole.io
0,3478,relay1.expressturn.com
0,3478,relay2.expressturn.com
0,3478,s1.taraba.net
0,3478,s2.taraba.net
0,3478,ss-turn2.xirsys.com
0,3478,stun.1-voip.com
0,3478,stun.12connect.com
0,3478,stun.12voip.com
0,3478,stun.1cbit.ru
0,3478,stun.1und1.de
0,3478,stun.2talk.co.nz
0,3478,stun.2talk.com
0,3478,stun.3clogic.com
0,3478,stun.3cx.com
0,3478,stun.3deluxe.de
0,3478,stun.3wayint.com
0,3478,stun.5sn.com
0,3478,stun.a-mm.tv
0,3478,stun.aa.net.uk
0,3478,stun.aaisp.co.uk
0,3478,stun.acquageraci.it
0,3478,stun.acrobits.cz
0,3478,stun.acronis.com
0,3478,stun.actionvoip.com
0,3478,stun.advfn.com
0,3478,stun.aeta-audio.com
0,3478,stun.aeta.com
0,3478,stun.alberon.cz
0,3478,stun.allflac.com
0,3478,stun.alltel.com.au
0,3478,stun.alphacron.de
0,3478,stun.alpirsbacher.de
0,3478,stun.altar.com.pl
0,3478,stun.annatel.net
0,3478,stun.antisip.com
0,3478,stun.arbuz.ru
0,3478,stun.arkh-edu.ru
0,3478,stun.atagverwarming.nl
0,3478,stun.autosystem.com
0,3478,stun.avigora.com
0,3478,stun.avigora.fr
0,3478,stun.avoxi.com
0,3478,stun.awa-shima.com
0,3478,stun.awt.be
0,3478,stun.axeos.nl
0,3478,stun.axialys.net
0,3478,stun.b2b2c.ca
0,3478,stun.babble.net
0,3478,stun.babelforce.com
0,3478,stun.babylon.com
0,3478,stun.bahnhof.net
0,3478,stun.baltmannsweiler.de
0,3478,stun.bandyer.com
0,3478,stun.barracuda.com
0,3478,stun.bcs2005.net
0,3478,stun.bearstech.com
0,3478,stun.bell.ca
0,3478,stun.bergophor.de
0,3478,stun.bernardoprovenzano.net
0,3478,stun.bethesda.net
0,3478,stun.beyondbb.com
0,3478,stun.bitburger.de
0,3478,stun.bluesip.net
0,3478,stun.bmwgs.cz
0,3478,stun.botonakis.com
0,3478,stun.budgetphone.nl
0,3478,stun.budgetsip.com
0,3478,stun.business-isp.nl
0,3478,stun.cablenet-as.net
0,3478,stun.callcentric.com
0,3478,stun.callromania.ro
0,3478,stun.callwithus.com
0,3478,stun.carlovizzini.it
0,3478,stun.catalina.ltd
0,3478,stun.cbsys.net
0,3478,stun.chathelp.ru
0,3478,stun.chatous.com
0,3478,stun.cheapvoip.com
0,3478,stun.cibercloud.com.br
0,3478,stun.ciktel.com
0,3478,stun.clickphone.ro
0,3478,stun.cloopen.com
0,3478,stun.cloudflare.com
0,3478,stun.colouredlines.com.au
0,3478,stun.comfi.com
0,3478,stun.commpeak.com
0,3478,stun.comrex.com
0,3478,stun.comrex.net
0,3478,stun.comtube.com
0,3478,stun.comtube.ru
0,3478,stun.cope.es
0,3478,stun.counterpath.com
0,3478,stun.counterpath.net
0,3478,stun.crimeastar.net
0,3478,stun.cryptonit.net
0,3478,stun.ctafauni.it
0,3478,stun.darioflaccovio.it
0,3478,stun.datamanagement.it
0,3478,stun.dcalling.de
0,3478,stun.decanet.fr
0,3478,stun.deepfinesse.com
0,3478,stun.demos.ru
0,3478,stun.develz.org
0,3478,stun.diallog.com
0,3478,stun.diamondcard.us
0,3478,stun.digitaleveryware.com
0,3478,stun.digitrad.com
0,3478,stun.dingaling.ca
0,3478,stun.directvoip.com
0,3478,stun.dls.net
0,3478,stun.dnsquery.com
0,3478,stun.doublerobotics.com
0,18000,stun.douyucdn.cn
0,3478,stun.drogon.net
0,3478,stun.dunyatelekom.com
0,3478,stun.duocom.es
0,3478,stun.dus.net
0,3478,stun.e-fon.ch
0,3478,stun.easter-eggs.com
