212.227.67.340,3478,stun.gmx.de
0,3478,stun.1cbit.ru
0,3478,stun.zepter.ru
0,3478,stun.globaltel.co.uk
0,3478,stun.voipgate.com
0,3478,stun.voipjet.com
0,3478,stun.voipbusterpro.com
0,3478,stun.voipplanet.nl
0,3478,stun.voippro.com
0,3478,stun.voipraider.com
0,3478,stun.voipstunt.com
0,3478,stun.voipwise.com
0,3478,stun.voipzoom.com
0,3478,stun.vopium.com
0,3478,stun.voxalot.com
0,3478,stun.voxgratia.org
0,3478,stun.voxox.com
0,3478,stun.voys.nl
0,3478,stun.1und1.de,
0,3478,stun.gmx.net,
0,stun.l.google.com,19302,
0,stun1.l.google.com,19302,
0,stun2.l.google.com,19302,
0,stun3.l.google.com,19302,
0,stun4.l.google.com,19302,
0,3478,23.21.150.121,
0,3478,iphone-stun.strato-iphone.de,
0,3478,numb.viagenie.ca,
0,3478,stun.12connect.com,
0,3478,stun.12voip.com,
0,3478,stun.1und1.de,
0,3478,stun.2talk.co.nz,
0,3478,stun.2talk.com,
0,3478,stun.3clogic.com,
0,3478,stun.3cx.com,
0,3478,stun.a-mm.tv,
0,3478,stun.aa.net.uk,
0,3478,stun.acrobits.cz,
0,3478,stun.actionvoip.com,
0,3478,stun.advfn.com,
0,3478,stun.aeta-audio.com,
0,3478,stun.aeta.com,
0,3478,stun.altar.com.pl,
0,3478,stun.annatel.net,
0,3478,stun.antisip.com,
0,3478,stun.arbuz.ru,
0,3478,stun.avigora.fr,
0,3478,stun.awa-shima.com,
0,3478,stun.b2b2c.ca,
0,3478,stun.bahnhof.net,
0,3478,stun.barracuda.com,
0,3478,stun.bluesip.net,
0,3478,stun.bmwgs.cz,
0,3478,stun.botonakis.com,
0,3478,stun.budgetsip.com,
0,3478,stun.cablenet-as.net,
0,3478,stun.callromania.ro,
0,3478,stun.callwithus.com,
0,3478,stun.chathelp.ru,
0,3478,stun.cheapvoip.com,
0,3478,stun.ciktel.com,
0,3478,stun.cloopen.com,
0,3478,stun.comfi.com,
0,3478,stun.commpeak.com,
0,3478,stun.comtube.com,
0,3478,stun.comtube.ru,
0,3478,stun.cope.es,
0,3478,stun.counterpath.com,
0,3478,stun.counterpath.net,
0,3478,stun.datamanagement.it,
0,3478,stun.dcalling.de,
0,3478,stun.demos.ru,
0,3478,stun.develz.org,
0,3478,stun.dingaling.ca,
0,3478,stun.doublerobotics.com,
0,3478,stun.dus.net,
0,3478,stun.easycall.pl,
0,3478,stun.easyvoip.com,
0,3478,stun.ekiga.net,
0,3478,stun.epygi.com,
0,3478,stun.etoilediese.fr,
0,3478,stun.faktortel.com.au,
0,3478,stun.freecall.com,
0,3478,stun.freeswitch.org,
0,3478,stun.freevoipdeal.com,
0,3478,stun.gmx.de,
0,3478,stun.gmx.net,
0,3478,stun.gradwell.com,
0,3478,stun.halonet.pl,
0,3478,stun.hellonanu.com,
0,3478,stun.hoiio.com,
0,3478,stun.hosteurope.de,
0,3478,stun.ideasip.com,
0,3478,stun.infra.net,
0,3478,stun.internetcalls.com,
0,3478,stun.intervoip.com,
0,3478,stun.ipcomms.net,
0,3478,stun.ipfire.org,
0,3478,stun.ippi.fr,
0,3478,stun.ipshka.com,
0,3478,stun.irian.at,
0,3478,stun.it1.hr,
0,3478,stun.ivao.aero,
0,3478,stun.jumblo.com,
0,3478,stun.justvoip.com,
0,3478,stun.kanet.ru,
0,3478,stun.kiwilink.co.nz,
0,stun.l.google.com,19302,
0,3478,stun.linea7.net,
0,3478,stun.linphone.org,
0,3478,stun.liveo.fr,
0,3478,stun.lowratevoip.com,
0,3478,stun.lugosoft.com,
0,3478,stun.lundimatin.fr,
0,3478,stun.magnet.ie,
0,3478,stun.mgn.ru,
0,3478,stun.mit.de,
